CSCH	JG05	k0	k4	sites
g14689	JG24_g321	0.0235683179068418	0.2967241403939442	1296
g14688	JG24_g322	0.0856850890833004	0.4326655308330625	1142
g14687	JG24_g323	0.0028409124877028	0.32530665315376955	1628
g14686	JG24_g324	0.0008408072629492	0.49399575336658197	1797
g14684	JG24_g326	0.097344130127168	0.49957696227259385	3676
g14685	JG24_g327	0.0779922851430357	0.6476194097303881	823
g14683	JG24_g330	0.0301781522637085	0.40731486448815923	2679
g14682	JG24_g331	0.0792702693765667	0.6362770385497227	1924
g14681	JG24_g332	0.0480163940736982	0.564252038962707	531
g14680	JG24_g333	0.0094937976539425	0.4791805587172113	1652
g14679	JG24_g334	0.0411712857767822	0.5935935846026313	986
g14678	JG24_g335	0.3014909574246233	0.7337342828877087	2444
g9822	JG24_g350	0.7507965602681705	1.0763133939669918	1595
g4729	JG24_g357	0.0592144137549588	0.3895179993413691	2419
