	CSCH_1	JG05_1	CMAL_1	CINC_1	CREN_1	CREN_2	CREN_3	CREN_4	CREN_5	CREN_6	CREN_7	CREN_8	CREN_9	CREN_10
Cre03.g177550	1.037982401516428	0.8368606883705965	0.693228205461837	0.7828455734676397	1.2719887016647051	0.9315854238363189	1.6732498428326896	1.5235180709459288	1.5846017960486538	0.8519366907822243	1.454492224791161	1.2148329889541893	1.102608525080212	1.1332843001909767
Cre03.g177750	1.2898462295033615	1.1302460713945985	0.5662557924419016	0.9343056736820607	0.6805630894503113	0.6474408828474713	0.8490967558904773	0.6775360706949063	0.6983954473974446	0.9304207457081444	0.9142303278622647	0.7820083062257078	0.8900680423882443	0.8138187537593388
Cre03.g177800	-0.7161279593758756	-0.580924213889199	-0.9310953618711246	0.8672916055055948	-0.345771092033707	0.7528191122884298	-0.053486555333945	-0.3034054465932782	0.2286378207619064	0.7554715892645045	0.055903126302149865	0.17471769731266076	0.1981476917393041	0.17082033167304078
Cre03.g177900	1.3825228262513947	0.2954641112775676	1.046575537012969	1.6319612554222407	0.9726805813686533	0.797698560298607	0.9951983523253511	0.8859051254661828	0.8684999001156772	1.105189246352798	0.8563074844959099	0.7250005956663796	0.937178851388976	0.8671583791700006
Cre03.g178250	2.328623674294351	1.9548667259943149	2.1593359516087895	2.385357440461568	1.6944706775532534	1.5946389840883706	1.912025815963017	1.8514750784760514	1.896452653052795	1.9529801139368594	1.8766780273064183	2.231793786454124	1.9798162271500659	1.9624921540459204
Cre03.g178500	2.167850156143973	1.671758052672633	1.6637130217824285	2.1336804727412777	2.028750294385006	1.993177595224659	2.2248504673612644	2.638089852132868	2.088075849191256	2.009871916465639	2.4327084450590455	2.6016723033555	2.0716237373263953	2.3854299326279866
Cre03.g178750	1.4087635505827765	-0.024312382899675595	0.6522503377894675	1.7078759946460482	1.5802900379629066	0.886330003764598	1.2956187954471072	0.7391730960765	1.3781565542577907	1.3986684534503724	1.156103924575599	0.8799241180963528	1.346573741786146	1.0728056955014509
Cre03.g179150	1.1850362946359896	0.7746671598969528	0.9618864363144439	0.8034174998008563	1.411744342458155	1.285527126911354	1.6004131644448805	1.168291702329656	1.3293455641053087	1.305310091087984	1.234503847735175	1.0217005797721532	1.2522179724303986	1.1766735502731793
Cre03.g179450	1.3347380890224962	0.22358103183651884	1.4249913297873533	0.741685881885745	2.4055751113830466	1.490099266438496	1.2131922122407104	1.1353342104406976	1.0170246770531917	1.2028587703113875	1.3040832800478594	0.38642029490331653	1.3185749359218286	1.2579358091820225
Cre03.g180200	1.3461824593408511	0.910811014998208	0.8122622964675746	1.0113180849472136	1.9103130264097237	1.6954029734474265	2.296102134807839	2.3736444988656724	2.077728481096104	1.49508118368655	2.016659789251306	2.1613745460261526	1.8377967578246492	1.928247947603382
Cre03.g180300	1.149234303403818	0.35084075200735515	0.9732332351181152	1.4583675601622512	1.856715038020844	1.8354803942290097	1.4760512224741709	1.448723566901176	1.5219619113372709	1.6434594350067708	1.6406780314979577	1.300509345807809	1.9058391012718512	1.695992138951512
Cre03.g180600	1.4699021846697802	0.7558939663952752	0.6113580879809466	1.0031410670350944	1.2056786017474688	1.0202101108071395	1.37913628939116	1.379719618607556	1.4390670494693123	1.3251114790204122	1.3501262233261404	1.3560938891985714	1.3083431751521228	1.0916268593273997
Cre03.g180650	1.3732517776179363	0.8392205755100534	0.8374020812467959	1.055277249735337	0.8231661625400107	0.524763579457134	0.9723987575760757	0.792262238439123	0.843258252399734	0.7390674799066581	0.7749144158005569	0.7718994602275143	0.686753516987215	0.3988533161785589
Cre03.g180750	2.0323224055462643	1.574171362968921	2.7180759593389987	2.950509038734862	2.1183765554283958	1.2903161342400564	2.631040683985611	0.9650355545757132	2.370279768897222	1.7650938885832916	1.3322138434262272	1.0459299133443474	1.6009672742893197	2.1882831398529534
Cre03.g181000	1.718833812256448	1.1105809854782511	1.1554621482377352	1.5132477660039305	1.2522440190462432	0.9706113319320883	0.9976769496285819	0.6810325302483894	1.0219434563501693	0.8689718029958152	0.7721773198241857	1.0447422953730385	1.0120458966467756	1.1580391605295703
Cre03.g181050	1.2692000735680697	0.7556768900226307	0.9601361105576065	1.1786887432328816	0.7883783133249123	0.48559367432301287	0.9929829236731704	0.867887438734048	0.9603137316465914	0.5205350409362941	0.5663687613789898	0.4731600192781431	0.2434297035261887	0.5092407891997557
Cre03.g181350	1.6519620088634273	0.8770713331078112	1.3310305326790248	1.1586513204449005	0.6942466309867121	0.8096287757769354	1.102899499920448	0.3775007238351601	1.0865738939499088	0.7403723929138193	0.6235948890183483	0.4464954082727241	0.5727099685584576	0.5935393385235704
Cre03.g181450	1.729371923799742	0.5900605237771677	1.216647040120206	1.3969582369544846	1.71157762848904	1.2446693982047026	1.47771346248601	0.9589599740333058	1.6214041603757123	1.3498939458528938	1.1121941675555815	0.9574379524630274	1.4457765015246142	1.2761469818084075
Cre03.g181500	1.8805526328608382	1.0441430196443329	1.5731886049104329	2.05686246034659	2.0161865101542467	1.8150935747691817	1.6677907061971484	1.556203901666281	1.3955404272834788	1.8376501279295585	1.7087999995048861	1.7973439253083603	1.9008275415239795	1.7194224624713275
Cre03.g182000	1.9679763984415424	1.676508997618892	1.0839953631090966	2.0004791763188816	1.075438562843397	1.0335617655281717	1.2747909410001153	1.3883533239571912	1.3517224741133753	1.1828388078618797	1.52859095880278	1.3346635456131448	1.2962197174319783	1.2293015944322525
Cre03.g182500	1.2966475697609339	0.882691795501952	1.3289185031204205	1.500050419217021	1.0241807621129608	0.9092043758773222	1.3472853196519685	1.1056252123018773	1.3139215086058766	1.1103638892158658	1.137294195470925	1.0357367679287828	1.1387830815877302	0.995110161399828
Cre03.g182551	3.2522898002765013	3.359102475557654	3.866547762546055	4.130272438631502	3.122029087012736	3.255263251578743	2.102858019521956	2.674762589686643	2.3859067516324397	3.463979687500815	3.3232464883079893	3.4171894692678206	3.6513739337542512	3.23738955222171
Cre03.g182600	2.0950025769082825	1.5839354294943302	1.6362581014211555	1.9177923176117326	1.3616695687802136	1.3044432123642118	1.4768806534201018	1.4237223083351898	1.4451362538738015	1.3098138869159088	1.5878611623630046	1.334157735163032	1.4790780621167658	1.265064882435111
Cre03.g182750	1.7858979948466216	0.38100193630733	1.8562809953357957	1.38150228979371	1.462866369332143	1.3625768115991792	1.6753404497952462	1.4701361147599694	1.581076492368982	1.6261773471771237	1.5401739161864711	1.4973145784759077	1.4823952016738107	1.173703212746
Cre03.g183300	1.2172310588299575	0.8028299530520837	1.4881068825520773	1.5286028381653147	2.0387297632685577	2.3141023562738416	2.3147995773535195	2.475304264900918	2.150155642290398	2.9135859522277237	2.4305028984346997	2.4057599363511617	2.9571567635162066	2.5270411730749527
Cre03.g183850	1.8016296837884909	1.000987644449394	2.126008090630052	2.1356839441547772	1.1837891695837315	1.5994911547236492	0.9942136951652676	0.9801345666248673	0.9146142215957951	1.612519968281471	1.5036064989169167	1.5069788554983912	1.3023486379034883	1.1590242985625634
Cre03.g183900	2.0860146143141907	1.9635851570861653	1.4392828413960241	1.8659990055161346	1.3912729713389393	1.4313625680203352	1.2162877062645179	1.4988126988778165	1.2169985188228172	1.4124673951776539	1.3051307645447747	1.7034520623086846	1.551866331228956	1.5736596919324657
Cre03.g184550	1.9353728441797757	1.362045337868788	1.7022407205027648	1.896198497975888	1.1678282357302003	1.3520040923717485	1.2903190263737272	1.2057127769811395	1.1791664382331315	1.7925376930749852	1.4201328489918954	1.3626858029860072	1.6156169319132123	1.2424455042343348
Cre03.g184800	1.1210620820747639	0.47904457734475847	0.6910414964747404	0.7937747646862731	0.9623202640381531	0.8207632168948794	1.2365652444239073	1.0376244295681198	1.273299135627984	1.0824578120596213	1.106240413472681	1.078059969935717	1.0829826911742533	1.012382070494357
Cre03.g185150	1.6531073514266652	1.220896723096642	1.1906778505751574	1.250388689748055	1.4552417366709902	1.4851704363962033	1.7523070524993571	2.021361284003572	1.5949793174401607	1.5285722329967468	1.7510332465597305	1.9140321338039743	1.622830146737463	1.7316547155348927
Cre03.g185200	1.9828150455299287	1.3933078341455616	1.4912829067822677	2.029104799100945	1.491589190061048	1.4762361751375697	1.628501863237858	1.5881558375750873	1.4168486010530879	1.6535977095017171	1.6837659653159318	1.4085010078555769	1.5868745301142593	1.5584740350709694
Cre03.g185300	0.8807152967527221	-0.5842915471384846	0.8533238519953383	1.0928414516962959	0.48627312380450505	0.6053832074299208	0.3578444708952432	0.557466493585355	0.4231057749398415	0.6673717496410602	0.2378820152872416	0.5097517870621215	0.9511991676392567	0.4372195870634277
Cre03.g185600	2.17676622539404	1.3104198922677692	1.5881681917633848	1.867933909952906	1.8091115057927976	1.9081337756717327	1.75534090889527	1.5320736352700173	1.8479370990921948	1.5347182867544147	1.6925291808036262	1.940169096095949	1.712858921821218	1.5208008804256004
Cre03.g185650	1.4694837228798312	1.1165670624563186	0.9628862401132736	1.3349407550780354	1.4579192682344222	1.5236727530769634	1.8514060196976645	2.165211738264196	1.6575765007828058	1.3843257590936975	1.7971221727914422	1.7881741074232433	1.491975799191418	1.6625940164104414
Cre03.g186200	1.648818454163455	1.316368540599884	1.5099572807393211	1.7295901850974174	1.6178757643684023	1.2123971096107635	1.3059666931947502	0.9353901394999082	1.6036958344270575	1.0565688258785515	0.887884593693574	1.266501904696236	1.1444266022285217	1.0204129648573936
Cre03.g186300	1.5700181424376674	1.1464492808135571	1.0192898466978777	1.512309168662398	1.4829156502115293	1.5478131839940006	1.7952680608003062	2.012764066118145	1.708543177610848	1.3022012946978994	1.8316640136640796	1.925399488341629	1.624413905981837	1.5820959915851753
Cre03.g186400	1.4276951941848683	0.8229179211429137	-0.3329866480834108	0.11426678398003527	0.9316636573149422	0.5792699669202322	0.6726611073716	0.36669709873993483	0.9421546739217863	1.003853369786438	0.7064528531009936	0.8428539203830738	0.74784481416843	0.6251643408442928
Cre03.g186900	1.7264982330583187	1.5311775437595108	1.4007084635980689	1.4457110658459258	1.9737377308727089	1.8458595939683742	1.8921557495258194	1.973838710721982	1.8870501471121472	1.969666999007993	2.0861892225192755	2.0245052855547274	2.1122679284974337	2.1595466312132787
Cre03.g187200	2.2677428458445665	2.039254000509482	1.7414121916125185	2.0826295375250226	2.2277494170291443	2.179290743714557	2.5276559580117595	2.8339999295326637	2.2778694123898036	2.222485317900927	2.5496091416251048	2.7560994284794154	2.2981620403011815	2.5910793457509262
Cre03.g187250	1.1714276851108112	1.6657387222150308	0.9805373500756062	0.6358291664464839	1.348228200611545	1.1508314710514143	1.1948577023425402	1.2409493986447189	1.4181130158073876	0.9941662650525841	1.3397264002172036	1.2542598854422315	1.376094646699908	1.2965844201599785
