"Vm_gen"	"Vm_gen_noint"	"Vm_mut"	"Vm_mut_noint"	"Vm_gen_nomutator"	"Vm_gen_noint_nomutator"	"Vm_mut_nomutator"	"Vm_mut_noint_nomutator"
"Cre01.g004600"	0.000710740740627358	0.000710732701149571	0.110038910750952	0.110039268628003	0.000637202528877368	0.00063719077498507	5.88332097241432e-09	0.0418122089508656
"Cre01.g004651"	0.000385534861053333	0.000385605903234471	0.0493769096948997	0.0493762721098845	0.000387849031731873	0.000387859280355826	3.35099181780057e-07	0.0169888991296748
"Cre01.g004700"	0.000992743692349662	0.000992741834490246	0.0396527557962572	0.0396532530274815	0.000991183138270321	0.000991201598843603	1.58512118076185e-09	0.020690501138182
"Cre01.g004750"	7.34080008499999e-05	7.3408876897803e-05	0.0784655441822714	0.0784665253881611	7.88900005979182e-05	7.88877583925461e-05	3.87195016209149e-10	0.0247181792431801
"Cre01.g004800"	0.000606671712643525	0.000606650990140643	0.145149234274131	0.145148745206846	0.000693355244321795	0.000693355581404366	0	0.051382050412233
"Cre01.g004850"	0.000327383648975691	0.000327383486494335	0.0431643889844726	0.0431650076167047	0.000319889236460931	0.000319899279404593	0	0.0171652928712328
"Cre01.g004900"	0	0.000178684337932096	0.106337614393822	0.106335899842166	0	0.000113790825228819	0.0289311332146559	0.0387150797914099
"Cre01.g004950"	0.000182033779521012	0.00018203028915095	0.0782645542367818	0.0782632440925026	0.000164928176422207	0.000164932245658291	0	0.0246349006758599
"Cre01.g005001"	0.000354275340878182	0.00035428322934796	0.0384720213953383	0.0384711315790935	0.00034318092037318	0.000343171292939805	0	0.0136812078019712
"Cre01.g005050"	0.000574799925793002	0.000574807014408138	0.130051788495832	0.130050351869898	0.000577417122385806	0.000577410983392664	0	0.0467981731516882
"Cre01.g005100"	0.000381783040454812	0.000381787084102284	0.0500159020985941	0.0500160969601395	0.00032452772905984	0.000324528742335488	0	0.0178962327595881
"Cre01.g005150"	0.000753821327925083	0.000753808545125977	0.08848487367188	0.0884856728781694	0.000686205311089685	0.000686205771259004	6.12500237340769e-09	0.0347948884607677
"Cre01.g005200"	0.000726263244667224	0.000726245871159734	0.0848630450122082	0.0848632885914433	0.000794685708987411	0.000794708290715827	0	0.0276300983634445
"Cre01.g005300"	0.00022057701534176	0.00022058248902362	0.00567523020832776	0.00567423040964223	0.000250145677451027	0.000250146542003303	0.00237244730847631	0.00237244236564579
"Cre01.g005400"	0.000670270856463267	0.0006702702846918	0.0235426630052496	0.0235427581623535	0.000654766905437836	0.000654756876671598	0	0.0126261038212445
"Cre01.g005450"	0.000412497002082648	0.000412490749938117	0.08954704090239	0.0895458558380015	0.000445608422684365	0.000445591723592628	0	0.0314325790375182
"Cre01.g005500"	0.000473784973659707	0.000473773969436228	0.0530992997212244	0.0531001802826329	0.000457328891435089	0.000457316092311128	1.25349747319323e-10	0.0207644339826192
"Cre01.g005543"	0	0	0	0	0	0	0	0
"Cre01.g005550"	0.00040257297877441	0.000402603812595956	0.034970441786764	0.0349721077412736	0.000356974749457804	0.000356978576821529	0	0.0134189482257407
"Cre01.g005600"	0.000405174035398723	0.000405185381135706	0.0324587053203116	0.0324588922314842	0.000397277340094914	0.000397272515849818	1.24685901833773e-10	0.0133151461269484
"Cre01.g005651"	0.000471622181957579	0.000471635516239266	0.0454623512778909	0.0454644277501334	0.000495433956510251	0.00049543099565318	0	0.0172182192216645
"Cre01.g005701"	0.00100116863625278	0.00100119103776725	0.0480761105818133	0.0480759267403254	0.000989889136970493	0.000989869162702239	0.0207407147238324	0.02074102579992
"Cre01.g005750"	0.000580042224031041	0.000580077847192435	0.0185961965418862	0.0185965733967324	0.000608846400107145	0.0006088465951794	0.00541477484866021	0.00913851403358224
"Cre01.g005813"	0.000771046806491104	0.000771059020798784	0.0491760560031263	0.0491771850777114	0.000810929846353101	0.000810959752696833	0	0.0201169676100984
"Cre01.g005850"	0.000647883427793437	0.000647886409265207	0.0408473261303135	0.0408482854513642	0.000599676450661213	0.000599673570687956	2.20717017176557e-10	0.0156758915737531
"Cre01.g005900"	0.000739434423681612	0.000739438535674782	0.0333715841941973	0.033371360085148	0.000719064566486064	0.000719087802089781	5.53890713785528e-10	0.0174292141468499
"Cre01.g005950"	0.000657870640976965	0.000657887653830594	0.0656394206393879	0.0656388776323246	0.000636312021183269	0.000636309990065322	1.30747223602192e-10	0.0250861203982148
"Cre01.g006000"	0.000457356909434581	0.000457352955309596	0.0276562751635294	0.0276562431743471	0.000414060722009478	0.000414057290475559	0.00801115854299336	0.0128103773049792
"Cre01.g006050"	0.000474493528057845	0.000474500057455451	0.0506590593589083	0.0506593234313168	0.000480785367280383	0.000480801806770552	6.75070305078967e-07	0.0197901619478258
"Cre01.g006100"	0.000404479575456108	0.000404479296900486	0.0202606208147871	0.020260780150012	0.000390710315266659	0.000390711691013802	0	0.00913678818176844
"Cre01.g006150"	0.000466780040978846	0.00046678648806698	0.0579382912032763	0.0579387068275872	0.000431900580050885	0.000431898750597794	0	0.023852846512332
"Cre01.g006450"	0	0	0.0003409535601633	0.00034100825431221	0	0	3.22049258197624e-06	3.19987860995521e-06
"Cre01.g006600"	0	0	0	0	0	0	0	0
"Cre01.g006614"	2.01348113514906e-05	2.01344258110636e-05	0.000896247632873723	0.000896266733713589	2.35562805483314e-05	2.35555226225082e-05	0	0.000402589776692461
"Cre01.g006766"	0	0	0	0	0	5.25835636848683e-19	0	0
"Cre01.g006800"	0.00060285592437869	0.000602870757382595	0.0403903579452081	0.0403905104910837	0.000567969686583597	0.000567992157261365	0	0.0178224532159145
"Cre01.g006850"	0.000177095762764531	0.000177086046072296	0.0347971242497476	0.0347975866538569	0.000181023940365669	0.000181024293716062	0.00591255387960276	0.0113035464833982
"Cre01.g006900"	0.000471193131956906	0.000471197971748761	0.0536971501665061	0.0536973675233204	0.000476875078781518	0.000476868409590539	5.44793060600808e-10	0.0223472396537894
"Cre01.g006950"	0.000329212447798452	0.000329231767115704	0.0871342187972039	0.0871321602837026	0.000361252561845157	0.000361261207496708	0.0169403472043255	0.0282929871860416
"Cre01.g007000"	0.000452113730330887	0.000452098479808903	0.0418889628232407	0.0418896768123206	0.000421892724484662	0.000421889513211496	1.61588807920097e-10	0.0181862323852943
"Cre01.g007050"	0.000539537396619235	0.000539537298034836	0.0613439858883803	0.0613447452749259	0.00050450113680805	0.000504514244173922	3.83640627796147e-10	0.0245989553940367
"Cre01.g007051"	0.00036020666848793	0.000360199201409824	0.18736740079885	0.187367564430787	0.000343973588270555	0.000343986791349154	0	0.0677614014082845
"Cre01.g007100"	0.000598339045102858	0.000598343027800799	0.0312518564406713	0.0312520819732792	0.000556357272367376	0.000556356245395944	0	0.0156353806930616
"Cre01.g007150"	0.000524794884489894	0.000524799647138132	0.0415513269585475	0.0415503549573915	0.000494089306113277	0.000494074599091207	0	0.0167991913825502
"Cre01.g007200"	0.000343483890045038	0.000343479880559494	0.0618853545283659	0.061887378136752	0.00033270205219354	0.000332707085850255	1.58100027419714e-08	0.0227270699273106
"Cre01.g007251"	0.000411738129432124	0.000411744948730782	0.0930719338544749	0.0930736107912551	0.000438061051526465	0.00043807529846776	0	0.0320280364592006
"Cre01.g007300"	0.000364168813005019	0.000364156813187682	0.0537209272132001	0.0537198810520402	0.000363181216192472	0.000363171347097424	2.921405878993e-08	0.0219583734753926
"Cre01.g007350"	0.00093301771689955	0.000933013400217116	0.0657481343898017	0.0657464382154249	0.000856320437037356	0.000856286793719531	9.3521048196336e-10	0.0247510913009984
"Cre01.g007400"	0.000725042363582521	0.000725051367145353	0.052954940875164	0.0529543528869039	0.000716116760193797	0.000716109932934387	0	0.0281344887508336
"Cre01.g007450"	0.000571951701297833	0.00057196468764625	0.041248285137807	0.0412486805816416	0.000577940126928032	0.000577948134390468	1.12364733826645e-10	0.0212968815962018
"Cre01.g007500"	0.000678794475022329	0.000678811052780377	0.0461310506875937	0.0461329322488795	0.000663112401049318	0.000663100388021894	1.68296772240977e-10	0.019693566744327
"Cre01.g007550"	0.000447971859236773	0.000447977868057284	0.0565478876068242	0.0565487051030393	0.000411422204967513	0.000411423149241402	0	0.0233857759922121
"Cre01.g007600"	0.000399366071816818	0.000399368699707618	0.0341311155279127	0.0341308888308572	0.000447894459739931	0.000447896678907535	0.0127236772138598	0.0127235385176098
"Cre01.g007651"	0.000549016244841405	0.000549016063644812	0.0450415470812089	0.0450420397122718	0.000539176291944228	0.000539180134270846	0	0.0188631332499572
"Cre01.g007700"	0.000556691599651329	0.00055664964857096	0.055491856297847	0.0554932936167453	0.000558449791058533	0.000558448464111372	1.57698312506287e-09	0.0202992788427558
"Cre01.g007737"	0.000869943048183096	0.00086993086404539	0.0714215928576466	0.0714219528721662	0.000808837166683898	0.000808822391134528	1.03536628642003e-08	0.0315093783834179
"Cre01.g007774"	0.000481398132708448	0.000481395580321513	0.0451415417378351	0.0451423497304863	0.000453856551118229	0.0004538670887062	0	0.0178304957161716
"Cre01.g007811"	0.000670959999128948	0.000670936233112048	0.0415494314666057	0.0415484508565159	0.000620735114593737	0.000620732856398871	0	0.0180168898769101
