Line1	Line2	SNPs	euclidean_distance	substructure	Similarity
CC2343	BMS-1	0.1998	237.74828340484112	NA2	0.8002
CC2344	BMS-1	0.1687	236.28321575200073	NA2	0.8313
CC2931	BMS-1	0.1574	231.1635589966392	NA2	0.8426
CC2932	BMS-1	0.1585	223.80741985899058	NA2	0.8415
CC3059	BMS-1	0.1793	219.24829308511835	NA1 x NA2	0.8207
CC3060	BMS-1	0.1761	211.72655385700037	NA1 x NA2	0.8239
CC3061	BMS-1	0.175	251.09123331320524	NA1 x NA2	0.825
CC3063	BMS-1	0.1816	209.8323034611911	NA1 x NA2	0.8184
CC3079	BMS-1	0.151	215.88843151299005	NA2	0.849
CL3-1	BMS-1	0.1337	178.20255250216087	NA2	0.8663
GB117	BMS-1	0.1753	239.45255991238614	NA1 x NA2	0.8247
GB119	BMS-1	0.1738	217.62515749353946	NA1 x NA2	0.8262
GB123	BMS-1	0.1768	226.7811377393677	NA1 x NA2	0.8231999999999999
GB13	BMS-1	0.1668	244.70093587210695	NA1 x NA2	0.8331999999999999
GB141	BMS-1	0.1755	225.26551978456396	NA1 x NA2	0.8245
GB66	BMS-1	0.1688	241.86555329744297	NA1 x NA2	0.8311999999999999
JG4-1	BMS-1	0.1238	193.03395161217563	NA2	0.8762
W13-1	BMS-1	0.1802	236.50785891199868	NA2	0.8198
W13-2	BMS-1	0.1751	220.20571028444581	NA2	0.8249
CC2342	CC1952	0.1812	206.80508126759887	NA2	0.8188
CC2343	CC1952	0.2028	223.93513667624887	NA2	0.7972
CC2344	CC1952	0.1889	248.4719822763137	NA2	0.8110999999999999
CC2931	CC1952	0.1797	228.86696407211554	NA2	0.8203
CC2932	CC1952	0.1848	219.34731857379157	NA2	0.8152
CC3059	CC1952	0.1979	255.82957080772644	NA1 x NA2	0.8021
CC3060	CC1952	0.1964	241.37762949643658	NA1 x NA2	0.8036
CC3061	CC1952	0.1932	219.72909470613314	NA1 x NA2	0.8068
CC3063	CC1952	0.1997	224.48343913489728	NA1 x NA2	0.8003
CC3079	CC1952	0.173	204.97770679945933	NA2	0.827
CL3-1	CC1952	0.1693	246.977000251258	NA2	0.8307
GB117	CC1952	0.1944	247.21402656103922	NA1 x NA2	0.8056
GB119	CC1952	0.1945	232.7339113364179	NA1 x NA2	0.8055
GB123	CC1952	0.1947	245.7379822030491	NA1 x NA2	0.8053
GB13	CC1952	0.1906	253.9748376013093	NA1 x NA2	0.8094
GB141	CC1952	0.193	227.90742281021667	NA1 x NA2	0.8069999999999999
GB66	CC1952	0.1931	260.3480071654805	NA1 x NA2	0.8069
JG4-1	CC1952	0.161	219.9801856875087	NA2	0.839
W13-1	CC1952	0.203	247.3835559288413	NA2	0.7969999999999999
W13-2	CC1952	0.1956	242.68046096806347	NA2	0.8044
CC2343	CC2342	0.2222	205.84495105457526	NA2	0.7778
CC2344	CC2342	0.1673	213.44424983185408	NA2	0.8327
CC2931	CC2342	0.1707	206.61328998546236	NA2	0.8293
CC2932	CC2342	0.1752	204.87277417131975	NA2	0.8248
CC3059	CC2342	0.1929	236.53429293703417	NA1 x NA2	0.8071
CC3060	CC2342	0.1903	215.81009853426056	NA1 x NA2	0.8097
CC3061	CC2342	0.1903	207.09483292375145	NA1 x NA2	0.8097
CC3063	CC2342	0.1894	202.29172765430098	NA1 x NA2	0.8106
CC3079	CC2342	0.1656	197.4378916857666	NA2	0.8344
CL3-1	CC2342	0.1537	226.7658167224565	NA2	0.8463
GB117	CC2342	0.1902	230.9385652568354	NA1 x NA2	0.8098
GB119	CC2342	0.1891	208.03468276777008	NA1 x NA2	0.8109
GB123	CC2342	0.1876	219.1606624155402	NA1 x NA2	0.8124
GB13	CC2342	0.184	224.86533417212996	NA1 x NA2	0.8160000000000001
GB141	CC2342	0.1892	208.87953562591022	NA1 x NA2	0.8108
GB66	CC2342	0.188	229.29150189299196	NA1 x NA2	0.812
JG4-1	CC2342	0.1487	214.1092268601947	NA2	0.8513
W13-1	CC2342	0.191	236.03744392906393	NA2	0.8089999999999999
W13-2	CC2342	0.1886	223.71645792776917	NA2	0.8114
CC2344	CC2343	0.2254	224.00012521925478	NA2	0.7746
CC2931	CC2343	0.2071	217.17824372036247	NA2	0.7928999999999999
CC2932	CC2343	0.2056	193.37328792005593	NA2	0.7944
CC3059	CC2343	0.2258	266.4261188304524	NA1 x NA2	0.7742
